producto_id,investigador_id,orden,rol,activo
P-GR-05E26F952A94,I-0001528783,,Autor listado en GrupLAC,1
P-GR-05E69C63FA8F,I-0000077969,,Autor listado en GrupLAC,1
P-GR-05E69C63FA8F,I-0000579882,,Autor listado en GrupLAC,1
P-GR-05EB57657FAF,I-0001409629,,Autor listado en GrupLAC,1
P-GR-05EB57657FAF,I-0001462454,,Autor listado en GrupLAC,1
P-GR-05F8E8F9CE55,I-0000107603,,Autor listado en GrupLAC,1
P-GR-05F8E8F9CE55,I-0000233633,,Autor listado en GrupLAC,1
P-GR-05F8E8F9CE55,I-0000283916,,Autor listado en GrupLAC,1
P-GR-060BACA9E3CF,I-0000525898,,Autor listado en GrupLAC,1
P-GR-0613804D6CE6,I-0000284602,,Autor listado en GrupLAC,1
P-GR-0615C44F4314,I-0001416765,,Autor listado en GrupLAC,1
P-GR-061AE3C71059,I-0001391969,,Autor listado en GrupLAC,1
P-GR-0636B6B7DB64,I-0000666106,,Autor listado en GrupLAC,1
P-GR-0636B6B7DB64,I-0000749028,,Autor listado en GrupLAC,1
P-GR-063B046782BA,I-0001404374,,Autor listado en GrupLAC,1
P-GR-063B046782BA,I-0001436288,,Autor listado en GrupLAC,1
P-GR-063B046782BA,I-0001812365,,Autor listado en GrupLAC,1
P-GR-064951D22F17,I-0000233633,,Autor listado en GrupLAC,1
P-GR-064E7C744993,I-0001597437,,Autor listado en GrupLAC,1
P-GR-064EA363816D,I-0000215678,,Autor listado en GrupLAC,1
P-GR-065E4D864A09,I-0001413334,,Autor listado en GrupLAC,1
P-GR-065F54E7496F,I-0000689173,,Autor listado en GrupLAC,1
P-GR-065FF6DB76A6,I-0000450260,,Autor listado en GrupLAC,1
P-GR-065FF6DB76A6,I-0000883662,,Autor listado en GrupLAC,1
P-GR-0661BDCCB728,I-0001342605,,Autor listado en GrupLAC,1
P-GR-0661BDCCB728,I-0001648742,,Autor listado en GrupLAC,1
P-GR-0661ED1CB835,I-0001426122,,Autor listado en GrupLAC,1
P-GR-06694842E6BD,I-0001582707,,Autor listado en GrupLAC,1
P-GR-0680C99304E5,I-0000215678,,Autor listado en GrupLAC,1
P-GR-0689F4C36D9B,I-0000045998,,Autor listado en GrupLAC,1
P-GR-0689F4C36D9B,I-0000484768,,Autor listado en GrupLAC,1
P-GR-0689F4C36D9B,I-0000772119,,Autor listado en GrupLAC,1
P-GR-0689F4C36D9B,I-0001534286,,Autor listado en GrupLAC,1
P-GR-068EB43DE856,I-0000442380,,Autor listado en GrupLAC,1
P-GR-068EB43DE856,I-0001236059,,Autor listado en GrupLAC,1
P-GR-0692B3499A67,I-0000749028,,Autor listado en GrupLAC,1
P-GR-06966049FE16,I-0001367821,,Autor listado en GrupLAC,1
P-GR-06966049FE16,I-0001404374,,Autor listado en GrupLAC,1
P-GR-0697C0AA91AA,I-0000450260,,Autor listado en GrupLAC,1
P-GR-0697C0AA91AA,I-0000537322,,Autor listado en GrupLAC,1
P-GR-06A266F42EE9,I-0000689173,,Autor listado en GrupLAC,1
P-GR-06CAB49FAD76,I-0000180742,,Autor listado en GrupLAC,1
P-GR-06DC728FE0D6,I-0000684660,,Autor listado en GrupLAC,1
P-GR-06DF7C8B62B4,I-0000605816,,Autor listado en GrupLAC,1
P-GR-06E2433B7FD2,I-0000431338,,Autor listado en GrupLAC,1
P-GR-06E2433B7FD2,I-0000666475,,Autor listado en GrupLAC,1
P-GR-06F8900EDAA4,I-0000154733,,Autor listado en GrupLAC,1
P-GR-06F8900EDAA4,I-0001166476,,Autor listado en GrupLAC,1
P-GR-070D35BD4F44,I-0000979430,,Autor listado en GrupLAC,1
P-GR-0732A04CF075,I-0000171936,,Autor listado en GrupLAC,1
P-GR-0732A04CF075,I-0001746260,,Autor listado en GrupLAC,1
P-GR-07394B80779D,I-0000299197,,Autor listado en GrupLAC,1
P-GR-07394B80779D,I-0000450987,,Autor listado en GrupLAC,1
P-GR-074528585148,I-0001350835,,Autor listado en GrupLAC,1
P-GR-0745DCF2DBB4,I-0000116197,,Autor listado en GrupLAC,1
P-GR-074C9A9DA046,I-0000611824,,Autor listado en GrupLAC,1
P-GR-0774CF146812,I-0000299197,,Autor listado en GrupLAC,1
P-GR-0774CF146812,I-0001211056,,Autor listado en GrupLAC,1
P-GR-077F947BFA23,I-0001482590,,Autor listado en GrupLAC,1
P-GR-079780C5FEF2,I-0001359432,,Autor listado en GrupLAC,1
P-GR-07A3D7A4848E,I-0001478298,,Autor listado en GrupLAC,1
P-GR-07B7C7DE4550,I-0000424382,,Autor listado en GrupLAC,1
P-GR-07C44120E00B,I-0000023556,,Autor listado en GrupLAC,1
P-GR-07C703D954F7,I-0000979430,,Autor listado en GrupLAC,1
P-GR-07CD048103ED,I-0000484768,,Autor listado en GrupLAC,1
P-GR-07CD048103ED,I-0000772119,,Autor listado en GrupLAC,1
P-GR-07D34608EA79,I-0001549604,,Autor listado en GrupLAC,1
P-GR-07D5FB18EDE7,I-0001065971,,Autor listado en GrupLAC,1
P-GR-07DF6597FC47,I-0000666106,,Autor listado en GrupLAC,1
P-GR-07DF6597FC47,I-0000749028,,Autor listado en GrupLAC,1
P-GR-07EAF27960C4,I-0001404374,,Autor listado en GrupLAC,1
P-GR-07EF58C927BE,I-0000028620,,Autor listado en GrupLAC,1
P-GR-07EF58C927BE,I-0001029240,,Autor listado en GrupLAC,1
P-GR-07FC8D6C7CFF,I-0001391969,,Autor listado en GrupLAC,1
P-GR-08041DDCC759,I-0000107603,,Autor listado en GrupLAC,1
P-GR-08041DDCC759,I-0001399381,,Autor listado en GrupLAC,1
P-GR-08041DDCC759,I-0001492887,,Autor listado en GrupLAC,1
P-GR-08097DC68426,I-0000611824,,Autor listado en GrupLAC,1
P-GR-0830258680F4,I-0001453275,,Autor listado en GrupLAC,1
P-GR-0830258680F4,I-0001483252,,Autor listado en GrupLAC,1
P-GR-0840C28A542D,I-0000424382,,Autor listado en GrupLAC,1
P-GR-0847F7D172CF,I-0000235156,,Autor listado en GrupLAC,1
P-GR-0847F7D172CF,I-0000563978,,Autor listado en GrupLAC,1
P-GR-0847F7D172CF,I-0001628806,,Autor listado en GrupLAC,1
P-GR-0856A826FD33,I-0000525898,,Autor listado en GrupLAC,1
P-GR-0856A826FD33,I-0001425567,,Autor listado en GrupLAC,1
P-GR-0856A826FD33,I-0001465942,,Autor listado en GrupLAC,1
P-GR-085DAD03E51F,I-0000694428,,Autor listado en GrupLAC,1
P-GR-0864050199E1,I-0000559822,,Autor listado en GrupLAC,1
P-GR-0865C5510B05,I-0000442712,,Autor listado en GrupLAC,1
P-GR-0865C5510B05,I-0001401301,,Autor listado en GrupLAC,1
P-GR-086D16CC89E6,I-0000393932,,Autor listado en GrupLAC,1
P-GR-086D16CC89E6,I-0001582707,,Autor listado en GrupLAC,1
P-GR-086D16CC89E6,I-0001745612,,Autor listado en GrupLAC,1
P-GR-086D16CC89E6,I-0001899020,,Autor listado en GrupLAC,1
