grupo_id,producto_id,origen,activo
G-00000000000900,P-GR-95FD30DE1167,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-9626A0BF4793,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-963AD759F290,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-9761F569CB80,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-977DE20D6753,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-985D24338E6E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-996E48A54688,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-99B73EA679CC,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-99F9BE36F7B5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-9B21134D75C8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-9C65D27B0141,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-9CD995BC39D8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-9D9D5D1D6FA5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-9E77DC301D4B,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-9F4BFDC11A32,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A01271D54BF3,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A0854CA49996,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A139A1503FCD,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A2436B546A61,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A2FC751670EC,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A3B637F950B6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A56E65F197FB,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A58AB6D0F35C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A60C8253D956,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A73907D6B4F0,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A7DB082DD6CB,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A7EB5D0814E4,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A835E9590170,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-A9FB2A9C1D74,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-AA1AEB59915F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-AA867D617661,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-ABD3FD8BCD09,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-AC1511E3CC5F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-AC8425A25088,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-ACBA586F48EC,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-ADE82027C3ED,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-AFC84854CEB9,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B075DF38750C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B20BD75CB381,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B26A8F9DB419,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B34547C58CF8,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B3A2A454C19F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B41B3A9F8AE0,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B4ADE39416A9,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B4DB272DCF8E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-B50B4CDF4FB5,GrupLAC: producto listado en la ficha,1
