id,nombre,codigo_cvlac,afiliacion,categoria,contacto,url,fuente,activo
I-0001028960,Ana GARRIDO ARAGON,0001028960,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001028960,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2005/3 - 2007/12",1
I-0001554711,Ana Yulieth Diaz Orozco,0001554711,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001554711,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2016/2 - 2016/10",1
I-0000081988,Angela Maria Castillejo Morales,0000081988,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000081988,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2024/2 - Actual",1
I-0001685368,Angelica Beatriz Herazo Portillo,0001685368,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001685368,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2026/2 - Actual",1
I-0001031635,Anthony Will Lopez Villarreal,0001031635,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001031635,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2007/4 - 2008/12",1
I-0001619313,Arturo Luis Alvarado Vega,0001619313,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001619313,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2015/10 - 2016/9",1
I-0000781711,Beverlys ROMERO ZAMBRANO,0000781711,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000781711,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2006/7 - 2008/12",1
I-0001664673,blanca mercedes gomez guerrero gomez guerrero,0001664673,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001664673,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2020/1 - 2020/12",1
I-0001356682,breiner jose arias montero,0001356682,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001356682,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2010/10 - 2014/1",1
I-0000018017,BRENDY PAOLA CABALLERO MENDOZA,0000018017,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000018017,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2013/8 - 2014/1",1
I-0001265318,Carlos CUESTA HOYOS,0001265318,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001265318,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/6 - 2019/2",1
I-0000918636,Carlos Domingo Orozco Gallardo,0000918636,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000918636,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/6 - Actual",1
I-0001770910,Carlos Enrique Villegas Benedetti,0001770910,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001770910,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2018/2 - Actual",1
I-0000328090,Cindy Lorena García Pinto,0000328090,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000328090,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2018/2 - Actual",1
I-0001303384,Claudia Patricia Mojica Guerra,0001303384,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001303384,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2008/8 - 2010/11",1
I-0000725552,Claudia WILCHES CONTRERAS,0000725552,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000725552,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/6 - 2018/11",1
